singer	song	lyric	next_lyric
周杰伦	给我一首歌的时间	我晒干了沉默\n悔得很冲动	就算这是做错\n也只是怕错过
周杰伦	给我一首歌的时间	能不能给我一首歌的时间\n紧紧的把那拥抱变成永远	在我的怀里 你不用害怕失眠\n如果你想忘记我也能失忆
周杰伦	给我一首歌的时间	能不能给我一首歌的时间\n把故事听到最后才说再见	你送我的眼泪 让它留在雨天\n越过你划的线 我定了勇气的终点
周杰伦	给我一首歌的时间	雨淋湿了天空\n毁得很讲究	你说你不懂\n为何在这时牵手
光良	给自己	给自己一封信 那青春别忘记 开心淋雨\n失恋也淋雨 那雨中有多少伤痛被洗尽	要自己 那些故事别忘记\n用欢笑与哭泣写下的页页花絮
李宗盛	给自己的歌	往事并不如烟\n是啊在爱里念旧也不算美德	可惜恋爱不像写歌\n再认真也成不了风格
李宗盛	给自己的歌	想得却不可得 你奈人生何\n该舍的舍不得 只顾着跟往事瞎扯	等你发现时间是贼了\n它早已偷光你的选择
周杰伦	公公偏头痛	我是个穷秀才\n说道理明黑白	在朝中如尘埃\n没人理有人爱
周杰伦	公公偏头痛	那公公的人脉\n遍五湖通四海	大内的高手坏\n砸朝廷的招牌
周杰伦	公公偏头痛	我是个穷秀才\n中状元考进来	却一直状况外 被宦官所陷害\n那公公的人脉 遍五湖通四海
周杰伦	公公偏头痛	公公贪污很凶\n公公贪污很凶	那军饷被掏空\n后宫有佳丽三千
周杰伦	公主病	没关系我爱你 就算你爱自己\n痘痘帮你挤赶走坏坏脾气	如果突然心急想要美好婚姻\n我的城堡说欢迎光临
周杰伦	公主病	为什么我要去晒太阳 我要去学游泳\n冲浪板要单手来扛	还不是因为你喜欢阳光男孩\n要我奔跑在海滩上
周杰伦	公主病	说一千遍爱你 这都不是问题\n我用音乐来治你的公主病	要我打包自己 扮成Hello Kitty\n那看起来就会有点问题
王力宏	公转自转	我绕著你打转 一圈一圈公转\n在人与人的银河	爱让我不间断\n我因为你而转 一圈一圈自转
陶喆	宫保鸡丁	我只希望每天跟你在一起\n不用做什么在家里就可以	我只要你做我的baby\ni dont care if 你发大小姐脾气
孙燕姿	咕叽咕叽	谁比谁好 能差到多少\n迟早都要 向上帝报到	既然坏的 通通改不掉\n用力思考
孙燕姿	咕叽咕叽	谁比谁好能差到多少\n迟早都要向上帝报到	既然坏的\n通通改不掉
梁静茹	孤单北半球	用你的早安陪我吃晚餐\n记得把想念存进扑满	我 望着满天星在闪\n听牛郎对织女说要勇敢
陈奕迅	孤独患者	笑越大声 越是残忍\n挤满体温 室温更冷	万一关灯 空虚扰人\n我却不能 喊等一等
林俊杰	故事细腻	神秘 抽象是一种情绪\n油画鲜艳了 所有回忆	故事在弯曲 流苏在摇曳\n我们相恋的 结局美丽
林俊杰	故事细腻	隔着距离 Romantic Mystery 在想你\n如果一切都继续 到处是爱你的证据	想或许你 Romantic Mystery 甜蜜\n我于是拿起笔 清楚的描绘 如何爱你
韩红	故乡的云	归来吧归来哟\n浪迹天涯的游子	归来吧 归来哟\n别再四处飘泊
韩红	故乡的云	归来吧 归来哟\n浪迹天涯的游子	归来吧归来哟\n别再四处飘泊
韩红	故乡的云	踏着沉重的脚步\n归乡路是那么的漫长	当身边的微风轻轻吹起\n吹来故乡泥土的芳香
韩红	故乡的云	我曾经豪情万丈\n归来却空空的行囊	那故乡的风和故乡的云\n为我抹去伤痛
韩红	故乡的云	我已是满怀疲惫\n眼里是酸楚的泪	那故乡的风和故乡的云\n为我抹去伤痛
蔡依林	乖乖牌	我不想爱一个乖乖牌\n你想要我 看你怎么使坏	我不想当一个乖乖牌\n你难以防御的爱
薛之谦	怪咖	所以要找个延期方法\n既平静还能突然挣扎	我自愿作怪咖\n就不怕被你笑话
薛之谦	怪咖	再听多几次分开的话\n越致命越不正面回答	感情里的怪咖\n有铺垫就不尴尬
薛之谦	怪咖	你还有几次分开的话\n新鲜感不佳词语匮乏	感情里的怪咖\n可手里也没筹码
陈奕迅	光辉岁月	年月把拥有变做逝去\n疲倦的双眼带着期望	今天只有残留的躯壳 迎接光辉岁月\n风雨中抱紧自由
邓紫棋	光年之外	感受停在我发端的指尖\n如何瞬间 冻结时间	记住望着我坚定的双眼\n也许已经没有明天
邓紫棋	光年之外	我没想到 为了你 我能疯狂到\n山崩海啸 没有你 根本不想逃	我的大脑 为了你 已经疯狂到\n脉搏心跳 没有你 根本不重要
邓紫棋	光年之外	缘份让我们相遇乱世以外\n命运却要我们危难中相爱	也许未来遥远在光年之外\n我愿守候未知里为你等待
邓紫棋	光年之外	一双围在我胸口的臂弯\n足够抵挡 天旋地转	一种执迷不放手的倔强\n足以点燃 所有希望
莫文蔚	广岛之恋	你早就该拒绝我\n不该放任我的追求	给我渴望的故事\n留下丢不掉的名字
莫文蔚	广岛之恋	不够时间好好来爱你\n早该停止风流的游戏	愿被你抛弃就算了解而分离\n不愿爱的没有答案结局
许嵩	闺蜜	你和她从小就熟\n念书时每天放学都一起走	三十八度顶着烈日游泳\n八卦莫文蔚和孙燕姿谁更瘦
周杰伦	轨迹	如果说分手是苦痛的起点\n那在终点之前 我愿意再爱一遍	想要对你说的不敢说的爱\n会不会有人可以明白
周杰伦	轨迹	闭上眼睛 还能看见\n你离去的痕迹	在月光下 一直找寻\n那想念的身影
周杰伦	轨迹	我会发着呆然后微微笑 \n 接着紧紧闭上眼	想着那一天会有人代替\n让我不再想念你
张信哲	过火	直到所有的梦已破碎\n才看见你的眼泪和後悔	我是多想再给你机会\n多想问你究竟爱谁
张信哲	过火	是否对你承诺了太多\n还是我原本给的就不够	你始终有千万种理由\n我一直都跟随你的感受
张信哲	过火	怎么忍心怪你犯了错\n是我给你自由过了火	让你更寂寞\n才会陷入感情漩涡
张信哲	过火	既然爱 难分是非 就别逃避 勇敢面对\n给了他的心 你是否能够要得回	怎麽忍心怪你犯了错\n是我给你自由过了火
张信哲	过火	怎么忍心让你受折磨\n是我给你自由过了火	让你更寂寞\n才会陷入感情漩涡
陈绮贞	还是会寂寞	也曾想过躲进别人温暖的怀中\n可是这么一来就一点意义也没有	我的高尚情操一直不断提醒著我\n离开你的我不论过多久还是会寂寞
蔡依林	海盗	啦啦啦啦\n冷漠背后 躲着温柔	我还记得 谁在嘶吼\n看你低着头 我站在船头
信乐团	海阔天空	海阔天空 在勇敢以后\n要拿执着 将命运的锁打破	冷漠的人谢谢你们曾经看轻我\n让我不低头 更精采的活
萧敬腾	海芋恋	轻轻柔柔的想念 在单恋的季节\n还记得湖畔曾与你相遇 喔	甜甜蜜蜜的暧昧 在热恋的季节\n还记得你的笑容无比的甜
林俊杰	害怕	我不再 去执着我是谁\n或是我在夜里掉的眼泪	也可说我看不开的 为你我能做的\n竟还没让你相信是爱情
林俊杰	害怕	我突然觉得有点怕\n爱跟生活的一切	你以为我知道怎么拆开\n我们的想法和落差
五月天	憨人	我有我的路 有我的梦\n梦中的那个世界 甘讲伊是一场空	我走过的路 只有希望\n希望你我讲过的话 放在心肝内 总有一天
汪苏泷	好安静	是你的坚定 能给我惊喜\n让我有勇气 骄傲走下去	我没有回应 却深藏心底\n有些话不用去表明
刘欢	好汉歌	路见不平一声吼啊\n该出手时就出手啊 风风火火闯九州啊	该出手时就出手哇\n风风火火闯九州哇
五月天	好好	世界再大\n不过你我凝视的微笑	在所有流逝风景与人群中\n你对我最好
五月天	好好	我们在小孩和大人的转角\n盖一座城堡	我们好好 好到疯掉\n像找回失散多年双胞
五月天	好好	你和我背着空空的书包\n逃出名为日常的监牢	忘了要长大 忘了要变老\n忘了时间有脚
陶喆	好好说再见	我爱过妳笑的脸庞\n我爱过妳心的善良	这些年有妳的时光\n把我的孤独都照亮
陈奕迅	好久不见	我多么想和你见一面\n看看你最近改变	不再去说从前 只是寒暄\n对你说一句 只是说一句
陈奕迅	好久不见	你会不会忽然的出现\n在街角的咖啡店	我会带着笑脸 挥手寒暄\n和你 坐着聊聊天
王力宏	好心分手	是否很惊讶 讲不出说话\n没错我是说 你想分手吗	曾给你驯服到就像绵羊\n何解会反咬你一下你知吗
王力宏	好心分手	下半生 陪住你 怀疑快乐也不多\n没有心 别再拖 好心一早放开我	好想告诉我的她\n这里像幅画
王力宏	好心分手	也许该分心 不应再说话\n被放弃的我 应有此报吗	如果我曾是个坏牧羊人能否再让我\n试一下抱一下
王力宏	好心分手	回头望 伴你走\n从来未曾幸福过	赴过汤 蹈过火\n沿途为何没爱河
李玟	好心情	如果爱情会让人脆弱无力\n朋友却可以让人恢复元气	不用怀疑\n你就是有这种魔力~
李玟	好心情	我知道 是上天安排我们\n在这时刻相遇在一起	我们都被祝福\n常常有好心情
张杰	浩瀚	四大皆空 色即是空\n眼里全是 胭脂花红	醉在花丛 笑得心痛\n谁来和我 深情相拥
张杰	浩瀚	天生我才必有用 千万莫欺少年穷\n败了也要逞英雄 不怕世人笑我疯	好汉不提当年勇\n只想问你懂不懂
许巍	喝茶去	走在回家路上\n不觉以万家灯火	走在回家路上\n仰望着头顶的繁星
汪苏泷	合照	你说你真的要的不多 为何还会难过\n当初简单快乐 到底变了什么	带着秘密生活\n隐藏喜怒哀乐
张杰	何必在一起	你你带走的呼吸\n吻不到你那感觉多委屈	分岔的爱情让眼泪隔出银河的距离\n轻轻关上门
张杰	何必在一起	轻轻关上门 让眼泪不逃避\n何必要在一起 让我爱上你	至少自己过得不必太压抑
张杰	何必在一起	何必要在一起 让我爱上你\n感觉你的呼吸是那么清晰	何必要在一起 让我没勇气\n让我独自在这寒冷的夜里
张杰	何必在一起	夜夜的那么美丽\n有人欢笑有人却在哭泣	尘封的记忆残留着邂逅的美丽\n辗转反侧的我失眠在夜里
张杰	何必在一起	何必要在一起 逃出生命里\n才让这个夜显得那么空虚	何必要在一起\n让我爱上你
李宇春	和你一样	我和你一样 一样的坚强\n一样的全力以赴追逐我的梦想	哪怕会受伤 哪怕有风浪\n风雨之后才会有迷人芬芳
李宇春	和你一样	我和你一样 一样的善良\n一样为需要的人打造一个天堂	歌声是翅膀 唱出了希望\n所有的付出只因爱的力量
许嵩	河山大好	心情大好\n 出去走走	碧海蓝天 \n吹吹风
许嵩	河山大好	忙忙忙\n忙出个什么所以然	地球离了谁\n它都照样公转自转
许嵩	河山大好	心情大好 出去走走\n碧海蓝天 吹吹风	河山大好 出去走走\n别窝在家 当懒虫
许嵩	河山大好	最近亚健康状态\n坐久了腿发软	电脑看久了脖子它也会酸
凤凰传奇	荷塘月色	我像只鱼儿在你的荷塘\n只为和你守候那皎白月光	游过了四季荷花依然香\n等你宛在水中央
林俊杰	黑暗骑士	有没有一种考验 有没有一次淬炼\n拯救了世界就像 英雄 电影 情节	有没有一种信念 有没有一句誓言\n呼唤黎明的出现 Yeah yeah yeah yeah
林俊杰	黑暗骑士	文明最颠峰某天\n人们和蝙蝠却住回洞穴	那罪行再也看不见\n都躲在法律和交易后面
林俊杰	黑暗骑士	有没有一种考验 有没有一次淬炼\n拯救了世界就像英雄 电影 情节	有没有一种信念 有没有一句誓言\n呼唤黎明的出现
林俊杰	黑暗骑士	为什么抓光了贼\n多年来更没目击过抢匪	而贫穷还是像潮水\n淹没了人们生存的尊严
周杰伦	黑色毛衣	看着那白色的蜻蜓\n在空中忘了前进	还能不能 重新编织\n脑海中起毛球的记忆
周杰伦	黑色毛衣	一件黑色毛衣\n二个人的回忆	雨过之后\n更难忘记
周杰伦	黑色毛衣	我知道不能再留住你\n也知道不能没有骨气	感激你 让我拥有秋天的美丽\n看着那白色的蜻蜓 在空中忘了前进
周杰伦	黑色幽默	随便说说 其实我早已经猜透\n看透不想多说 只是我怕眼泪撑不住	不懂 你的黑色幽默\n想通 却又再考倒我
周杰伦	黑色幽默	难过是因为闷了很久\n是因为想了太多	是心理起了作用\n你说 苦笑常常陪着你
林俊杰	黑武士	在黑暗的对面是光明 光明后面是阴影\n正义 邪恶是谁有权定义	在命运的前面我怀疑 在面具后面铁一般决心\n光荣的牺牲 也是种荣誉
刘若英	很爱很爱你	很爱很爱你 所以愿意 舍得让你\n往更多幸福的地方飞去	很爱很爱你 只有让你\n拥有爱情 我才安心
刘若英	很爱很爱你	很爱很爱你 所以愿意舍得让你\n往更多幸福的地方飞去	很爱很爱 你只有让你拥有爱情\n我才安心
刘若英	很爱很爱你	如果我退回到\n好朋友的位置	你也就不再需要\n为难成这样子
刘若英	很爱很爱你	想为你做件事\n让你更快乐的事	好在你的心中埋下我的名字\n求时间 趁着你
冯提莫	哼	还习惯留着身旁的空位 \n还习惯成双成对的搭配	还喜欢没有加糖的咖啡\n喜欢用类似“我们”的称谓
张杰	恒星流星	无数个光年 犹如昨天\n我静静等待着你的出现	看着星空的变迁 心里想着你的脸\n突然有种擦身而过的错觉
张杰	恒星流星	我是恒星而你是流星\n你注定要走我注定厮守	我无法改变\n你在我的世界里不能永远
张杰	恒星流星	我无法改变\n你在我的世界里不能永远	只能期待着\n下一次与你幸福的擦肩
周杰伦	红尘客栈	任武林谁领风骚\n我却只为你折腰	过荒村野桥寻世外古道\n远离人间尘嚣
周杰伦	红尘客栈	天涯的尽头是风沙\n红尘的故事叫牵挂	封刀隐没在寻常人家 东篱下\n闲云野鹤古刹
周杰伦	红尘客栈	快马在江湖里厮杀\n无非是名跟利放不下	心中有江山的人岂能快意潇洒\n我只求与你共华发
周杰伦	红尘客栈	檐下窗棂斜映枝桠\n与你席地对座饮茶	我以工笔画将你牢牢的记下\n提笔不为风雅
周杰伦	红尘客栈	剑出鞘恩怨了 谁笑\n我只求今朝拥你 入怀抱	红尘客栈风似刀\n骤雨落 宿命敲
周杰伦	红尘客栈	灯下叹红颜近晚霞\n我说缘份一如参禅不说话	你泪如梨花洒满了纸上的天下\n爱恨如写意山水画
薛之谦	红尘女子	谁将今生缘定\n红线卷入红尘	惹来流言蜚语\n飘去若隐若懂
薛之谦	红尘女子	公子醉酒不归为忘谁\n从来不问我心碎	谁懂红尘女子\n心里的滋味
薛之谦	红尘女子	公子随便出手三千金\n可否知道我心碎	关上房门别问\n我在思念谁
薛之谦	红尘女子	爱如磐石已碎\n才知今世缘灭	爱里千醉与你\n最后一夜
陈奕迅	红玫瑰	得不到的永远在骚动\n被偏爱的都有恃无恐	玫瑰的红容易受伤的梦\n握在手中却流失于指缝
陈奕迅	红玫瑰	从背后抱你的时候\n期待的却是她的面容	说来实在嘲讽我不太懂\n偏渴望你懂
陈奕迅	红玫瑰	得不到的永远在骚动\n被偏爱的 都有恃无恐	玫瑰的红容易受伤的梦\n握在手中却流失于指缝
陈奕迅	红玫瑰	是否说爱都太过沉重\n过度使用不痒不痛	烧得火红蛇行缠绕心中\n终于冷冻终于有始无终
周杰伦	红模仿	中国风的歌曲 有增无减\n是好是坏 问方文山最清楚	从娘子唱到双截棍\n东风破到发如雪
孙楠	红旗飘飘	你明亮的眼睛牵引着我\n让我守在梦乡眺望未来	当我离开家的时候\n你满怀深情吹响号角
孙楠	红旗飘飘	那是从旭日上采下的虹\n没有人不爱你的色彩	一张天下最美的脸\n没有人不留恋你的颜容
孙楠	红旗飘飘	五星红旗\n你是我的骄傲	五星红旗\n我为你自豪
蔡健雅	红色高跟鞋	我爱你有种左灯右行的冲突\n疯狂却怕没有退路	你能否让我停止这种追逐\n就这么双 最后唯一的 红色高跟鞋
蔡健雅	红色高跟鞋	你像窝在被子里的舒服\n却又像风捉摸不住	像手腕上散发的香水味\n像爱不释手的 红色高跟鞋
胡彦斌	红颜	这一世英名我不要\n只求换来红颜一笑	这一去如果还能轮回\n我愿意来生作牛马
邓紫棋	后会无期	在每个繁星抛弃银河的夜里\n我会告别 告别我自己	因为我不知道\n我也不想知道和相聚之间的距离
邓紫棋	后会无期	当一辆车消失天际\n当一个人成了谜	你不知道 他们为何离去\n就像你不知道这竟是结局
汪苏泷	后会无期	我把记忆都翻遍\n却没有发现	我们约好的明天\n你留给昨天
汪苏泷	后会无期	你带走我的思念\n却没说抱歉	一起走过的黑夜\n变一地白雪
汪苏泷	后会无期	等不到 风中你的脸颊\n眼泪都美到很融洽	等不到 掩饰的雨落下\n我的眼泪被你觉察
刘若英	后来	那时候的爱情\n为什么就能那样简单	而又是为什么 人年少时\n一定要让深爱的人受伤
刘若英	后来	后来\n终于在眼泪中明白	有些人\n一旦错过就不再
刘若英	后来	你都如何回忆我\n带着笑或是很沉默	这些年来\n有没有人能让你不寂寞
五月天	后来的我们	在某处 另一个你 留下了\n在那里 另一个我 微笑着	另一个我们 还深爱着\n代替我们永恒着
五月天	后来的我们	也许你都忘了\n也不是那么 重要了	只期待 后来的你 能快乐\n那就是 后来的我 最想的
五月天	后来的我们	无论是 后来故事 怎么了\n也要让 后来人生 精彩着	后来的我们 我期待着\n泪水中能看到 你真的
五月天	后来的我们	然后呢\n他们说你的心 似乎痊愈了	也开始有个人 为你守护着\n我该心安或是 心痛呢
五月天	后来的我们	无论是后来故事怎么了\n也要让后来人生值得	后来的我们 我期待着\n泪水中能看到 你真的 自由了
五月天	后来的我们	只期待 后来的你 能快乐\n那就是 后来的我 最想的	后来的我们 依然走着\n只是不再并肩了
五月天	后来的我们	它们都有我 细心收藏着\n也许你还记得	也不是那么 重要了\n只期待 后来的你 能快乐
五月天	后青春期的诗	为爱情狂乱\n然而青春彼岸	盛夏正要一天\n一天一天的灿烂
五月天	候鸟	包厢里的狂欢 曲终人散\n长夜里的空白 消化不完	灵魂总是要贪 片刻灿烂\n那双唇的孤单 变得野蛮
莫文蔚	忽然之间	我明白 太放不开你的爱\n太熟悉你的关怀	想你 算是安慰 还是悲哀\n而现在 就算时针 都停摆
薛之谦	狐狸	世人太警惕 道听途说里\n口碑轮不到狐狸	可总是有人来不及证明\n就已被看腻
薛之谦	狐狸	我还要怎样取悦你\n举止要纯洁无比	我尽量学会很压抑\n代价是不揭穿你
薛之谦	狐狸	我内心表现很积极\n一路都能尾随你	我尽量保持好距离\n衷心让人看不起
薛之谦	狐狸	要确保五官很立体\n看不出我是狐狸	再尽量展现出才艺\n尾巴也不能翘起
罗志祥	狐狸精	你不要又来 借题发挥\n狐狸精她太不要脸 阴魂不散真的讨厌	走在路上 不管是谁 \n她都一样乱抛媚眼
许嵩	胡萝卜须	青春舞台来来往往很多人\n人模狗样	偏见与傲慢轮番拜访\n方式不详
许嵩	胡萝卜须	先有鸡还是先有蛋\n先有女还是先有男	成年人没空思考\n小孩又想不出答案
许嵩	胡萝卜须	哦 \n胡萝卜须抓住鼹鼠	抛向天空 然后盯住它\n盯住它直到手脚折断
张碧晨	胡桃夹子	蒙尘的镜子里面困住一个人\n触不到 时光里的温度	胆怯的心跳 骄傲的头\n抚平的只是孤独
刘欢	糊涂的爱	这就是爱说也说不清楚\n这就是爱糊里又糊涂	这就是爱它忘记了人间的烦躁\n这就是爱能保持着糊涂的温度
许嵩	蝴蝶的时间	回忆任它残破\n可能终会参破	百年后谁人还记得我\n爱是一盏烛火
许嵩	蝴蝶的时间	借我一盏烛火 \n点亮你的轮廓	思念通明以后\n付与一纸传说
许嵩	蝴蝶的时间	花开不败\n 香满楼台	我不闻 我不闻\n飞入黑洞 你不在场
许嵩	蝴蝶的时间	飞过山岗 \n你不在场	我的胸膛\n纹路苍茫
五月天	花	当风雨都过去 迎着风看天空\n不放弃才能够有感动	这一生这一次\n为自己抬起头
花儿乐队	花痴花蜜	爱你 我们爱你\n花痴花蜜 朵朵同心	爱你 我们爱你\n花痴花蜜 瓣瓣相亲
陈绮贞	花的姿态	我的花你别戴\n我的花让我自己戴	你拥有你的\n我拥有我的
薛之谦	花儿和少年	那过去的 花儿和少年\n隔着青春和我 正面背面	笑我庸俗肤浅 一脸不屑\n许下情比金坚
薛之谦	花儿和少年	再早不过事先 再迟无非了解\n幸福拿谁铺垫 又把谁祭奠	留一点悬念\n才明白体谅是对峙中的善莫大焉
薛之谦	花儿和少年	未经事的 花儿和少年\n辗转唇齿之间	在静谧里的爱恋 \n有嚣张的气焰 最扣人心弦
薛之谦	花儿和少年	有故事的 花儿和少年\n在生活里沦陷	花儿是哪个少年执的夙愿\n最后成谁家眷
周杰伦	花海	静止了 所有的花开\n遥远了 清晰了爱	天郁闷 爱却很喜欢\n那时候我不懂这叫爱
周杰伦	花海	不要你离开\n距离隔不开	思念变成海\n 在窗外进不来
周杰伦	花海	你喜欢 站在那窗台\n你好久 都没再来	彩色的时间染上空白\n是你流的泪晕开
周杰伦	花海	不要你离开\n回忆划不开	欠你的宠爱\n我在等待重来
王力宏	花田错	花田里犯了错\n说好 破晓前忘掉	花田里犯了错\n拥抱 变成了煎熬
王力宏	花田错	夜好深了 纸窗里怎么亮着 \n 那不是 彻夜等候 你为我点的烛火	不过是 一次邂逅\n红楼那一场梦
王力宏	花田错	醉 怎么会喝醉 美 因为你的美\n爱匆匆一瞥不过点缀	飞 看大雪纷飞 却再也找不回\n被白雪覆盖那些青翠
那英	花一开满就相爱	花一开满就相爱 春风对雨的依赖\n我等待 为你飞舞的姿态	花一开满就相爱 离开害羞的女孩\n我等来 在你眼中的光彩
陈绮贞	华丽的冒险	长长的时间的旅程充满\n太多未知的诱惑	数不清对你承诺过的一切\n还有多少没有实现过
陈绮贞	华丽的冒险	不愿放开手 不愿让你走\n疯狂的梦没有了你 还有什麽用	不愿放开手 不愿让你走\n不愿眼睁睁的看你 走出我的生活
陈绮贞	华丽的冒险	不愿放开手\n不愿让你走 	疯狂的梦没有了你\n还有什麽用
陈绮贞	华丽的冒险	长长的路的尽头是一片\n满是星星的夜空	这一趟华丽的冒险没有\n真实的你陪我走
陈绮贞	华丽的冒险	不愿放开手\n不愿让你走	疯狂的梦没有了你\n还有什麽用
周杰伦	画沙	晚风轻敲着海沙\n浪堆积起无暇	我跟纯真在比傻爱\n让你放不下
周杰伦	画沙	午后的风摇晃枝桠\n抖落了盛夏	我对着蝉认真说话\n在对你牵挂
张靓颖	画心	看不穿\n是你失落的魂魄	猜不透 \n是你瞳孔的颜色
张靓颖	画心	记着你 的脸色\n是我等你的执着	你是我一首唱不完的歌
张靓颖	画心	一阵风一场梦\n爱是生命的莫测	你的心到底被什么蛊惑\n你的轮廓在黑夜之中淹没
张靓颖	画心	记着你的脸色\n是我等你的执着	你是我一首唱不完的歌\n看不穿 是你失落的魂魄
张靓颖	画心	你的轮廓在黑夜之中淹没\n看桃花 开出怎样的结果	看着你抱着我 目光似月色寂寞\n就让你在别人怀里快乐
蔡依林	怀念	推辞每次真实的相聚\n困着自己渴望着你的消息	沾沾自喜拒绝的魅力\n不着痕迹享受着与你的距离
蔡依林	怀念	也许喜欢怀念你\n多于看见你	我也许喜欢想象你\n多于得到你
许嵩	幻胖	幻胖的女孩\n需要好好的吃饭	脸圆圆的蛮可爱\n干嘛要骨瘦如柴
许嵩	幻听	如今一个人听歌总是会觉得难过\n爱已不在这里我却还没走脱	列表里的歌\n随过往流动
许嵩	幻听	在远方的时候\n又想你到泪流	这矫情的措辞结构\n经历过的人会懂
许嵩	幻听	那些不堪言的疼痛\n 也就是我自作自受	你没有装聋\n你真没感动
许嵩	幻听	如今一个人听歌总是会觉得失落\n幻听你在我的耳边轻轻诉说	夜色多温柔\n你有多爱我
许嵩	幻听	一个人的时候\n偷偷看你的微博	你转播的歌好耳熟\n我们坐一起听过
周杰伦	黄金甲	血染盔甲我挥泪杀\n满城菊花谁的天下	宫廷之上 狼烟风沙\n生死不过 一刀的疤
周杰伦	黄金甲	血染盔甲我挥泪杀\n横刀立马看谁倒下	宫廷之上狼烟风沙\n生死不过一刀的疤
薛之谦	黄色枫叶	我仿佛可以看见那片枫树海\n看见你还在树下守着爱	我要飞过万水千山能回到你身边\n哪怕只能再说声再见
薛之谦	黄色枫叶	你摘下黄色枫叶\n证明我在秋天离开	我答应你会回来\n当红色枫叶再开成海
薛之谦	黄色枫叶	我知道你的眼泪早已流成海\n当鲜血慢慢溅透了期待	利剑刺入胸口 视线逐渐模糊\n为何还能看见你容颜
薛之谦	黄色枫叶	秋风掠过战场深爱的人两散\n我握着希望冲出重围	我知道 你的眼泪早已流成海\n当鲜血慢慢溅透了期待
薛之谦	黄色枫叶	你挥动万缕千丝间\n我随着你的美沦陷	那片黄色枫叶飘入硝烟\n来见我最后一面
许嵩	灰色头像	又想起你曾说的陪我到最后\n暖色的梦变冰凉的枷锁	如果时光倒流我们又能抓得住什么\n打开了OICQ
许嵩	灰色头像	我们还是朋友\n是那种最遥远的朋友	你给过的温柔\n在记录之中 全部都保有
许嵩	灰色头像	打开了OICQ\n聊天记录停步去年的深秋	最后的挽留\n没有说出口
许嵩	灰色头像	昨夜做了一个梦\n梦里我们回到手牵着手	醒来的失落 无法言说\n打开了OICQ
许嵩	灰色头像	你灰色头像不会再跳动\n哪怕是一句简单的问候	心贴心的交流一页页翻阅多难过\n是什么 坠落 升空
周杰伦	回到过去	想回到过去 \n 试着抱你在怀里	羞怯的脸带有一点稚气\n想看你看的世界
周杰伦	回到过去	一盏黄黄旧旧的灯\n时间在旁闷不吭声	寂寞下手毫无分寸\n不懂得轻重之分
周杰伦	回到过去	想回到过去 试着抱你在怀里\n羞怯的脸带有一点稚气	想看你看的世界 想在你梦的画面\n只要靠在一起 就能感觉甜蜜
蔡淳佳	回到最初	能不能回到最初\n最自然最灿烂的笑容	没有钻石的爱情 我也会被感动\n让自己放空 恢复漂亮的脸孔
蔡淳佳	回到最初	我崇拜的英雄\n和最爱的卡通	全都出现在 今夜的美梦\n为生活忙碌地跑着
蔡淳佳	回家的路	也许再走五百里日夜\n就能走到从前	陌生的城市炊烟最美\n故乡的水是滚热的泪
蔡淳佳	回家的路	陌生的城市炊烟最美\n故乡的水是滚热的泪	在天黑时刻就能望见\n我离家有多远
孙楠	回家的路	回家的路好远的路\n怎么我在这里等好久 	还是看不见你回来的脚步\n回家路\n爱迷了路
张杰	回忆的独奏	想起我的朋友 说过甘苦与共\n还记不记得初衷	我莫名其妙的哀愁\n找不到地方接收
张杰	回忆的独奏	我们走到最后 心的内容\n只剩下回忆的独奏	提醒我未完成的每个梦\n还没有走到尽头
许嵩	毁人不倦	少年\n从这里开始新的体验	最后造了孽
许嵩	毁人不倦	初夏的雨点\n 落得太敷衍	习惯了不辞而别\n激情已退却
陈绮贞	会不会	离开你的世界\n让情绪完完整整的宣泄	冷的心 热的泪\n空白的想念
陈绮贞	会不会	我想今夜就这样吧\n就算孤独也无所谓	也许有一天 你开始后悔\n会不会
林俊杰	会读书	灯 不能熄灭 熬过今夜\n就能从书中逃回到 这个世界	我 我不明白 这个年代\n怎么还能说 读好书 就会发财 好呆
林俊杰	会读书	读读读读读到书都想吐 好想哭\n怕怕怕怕怕老是背书 好白痴	你你你你你 只会说你要第一\n我就快要发羊癫疯
林俊杰	会读书	不是每个人都会读书 会读书\n不厉害读书也不一定 就会输	不是想要说我会读书 不在乎\n我只想要 你能清楚
曾轶可	会飞的贼	飞去沙漠 偷走让人寂寞的篝火\n飞去长河 偷走让人思念的贝壳	飞去你心上 把篝火和贝壳一起点亮\n如果你还不懂 你还不要 你还不爱
张杰	会孤单	我走在这里的大雨倾盆前\n你离开却没有跟我再道别	不去记惦 你走那天\n那些 星星点点
梁静茹	会呼吸的痛	在东京铁塔　第一次眺望\n看灯火模仿　坠落的星光	我终于到达但却更悲伤\n一个人完成我们的梦想
梁静茹	会呼吸的痛	遗憾是会呼吸的痛\n它流在血液中来回滚动	后悔不贴心会痛\n恨不懂你会痛
林俊杰	会有那么一天	一九四三 世界大战\n阿嬷年轻的时候	爷爷爱她那么多\n他们感情很深
林俊杰	会有那么一天	因为会有那么一天\n我们牵著手在草原	听 鸟儿歌唱的声音\n听我说声 我爱你
林俊杰	会有那么一天	但是爷爷 身负重任\n就在离乡的那夜	给了阿嬷一个吻\n轻声说到我要离去 别再哭泣
